# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 24  56124   42.14  988.68  -0.14   0.32  22.902  0.028  22.964  22.804  22.930   3.219   0.793  34.758   2.831   0.633  33.819   3.477   0.567  34.786   0.387 0 0 1 
1236 24  95747 1888.30  781.11   0.02   0.39  21.951  0.021  22.562  21.951  22.376   5.572   0.687  -1.571   6.611   0.621  -2.158  16.679   0.582  -3.414   1.000 0 0 1 
# Visit  CCD  FakeID  FakeX  FakeY   DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  parentID  nChild  extended
1236 25  20181  230.78 3028.96  -0.47   0.18  21.627  0.019  22.476  21.628  21.337  12.778   0.443  22.077  12.427   0.373  20.074  41.340   0.338  20.149   1.000 0 0 1 
1236 25  89458 1229.65 1574.85   0.05   0.00  21.312  0.018  21.781  21.313  21.525   4.874   0.626  52.827   6.026   0.474  53.021  12.631   0.432  53.074   1.000 1061823289754465 0 1 
1236 25  98554 1478.63 2694.85   0.01  -0.81  23.138  0.031  23.433  23.140  23.243   5.203   0.531  65.903   5.565   0.347  63.712   9.359   0.256  62.849   1.000 0 0 1 
1236 25 184239 1067.55 4061.45  -0.01   0.00  21.149  0.019  21.663  21.153  21.383   5.119   0.640  71.689   6.407   0.508  72.401  14.140   0.474  72.637   1.000 0 2 1 
1236 25 164860 1769.45 1811.09   0.29   0.04  22.145  0.020  22.695  22.146  22.160   5.080   0.702 -24.474   6.516   0.603 -24.001  15.075   0.569 -21.859   1.000 1061823289754620 0 1 
1236 25 193460 1567.70 1390.13  -0.04  -0.09  19.489  0.018  19.785  19.490  19.607   3.535   0.803  19.405   3.812   0.665  21.578   5.850   0.622  21.435   1.000 1061823289754365 0 1 
1236 25 145093  696.00  598.32  -0.03   0.01  20.240  0.018  20.832  20.241  20.590   5.737   0.678 -44.088   7.638   0.600 -44.519  19.044   0.557 -44.485   1.000 0 0 1 
1236 25 136352 1688.89 2471.11  -0.23  -0.17  22.789  0.026  23.136  22.790  22.733   3.082   0.958  -1.968   2.725   0.977 -77.948   4.670   0.899 -84.861   1.000 0 0 1 
1236 25 112019 1409.64 3935.74  -0.26  -0.28     nan    nan     nan     nan     nan   3.239   0.800  23.653     nan     nan     nan     nan     nan     nan     nan 1061823289755840 0 1 
1236 25  87037  441.83  412.71   0.00  -0.03  21.572  0.019  22.247  21.573  21.953   5.438   0.755  89.685   6.778   0.662  87.900  18.626   0.620  86.885   1.000 0 0 1 
