# FakeX    FakeY    DiffX   DiffY   CmodMag   CmodErr  ExpMag  DevMag  KronMag  SdssR  SdssBa  SdssPa  ExpR  ExpBa  ExpPa  DevR  DevBa  DevPa  fracDev  Match  Deblend
  1725  658.85    0.13   0.03  22.69   0.026 23.032  22.606  22.982   4.505   0.620  28.792   4.896   0.489  28.782   9.754   0.438  29.805   0.826 0 1
  1853 3631.34    0.73  -0.20    nan     nan    nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
   793 2158.94    0.57  -0.82    nan     nan    nan     nan  25.828   1.814   0.843  53.546     nan     nan     nan     nan     nan     nan     nan 1061900599166029 1
   933 1517.76    1.50   0.22    nan     nan    nan     nan     nan   2.769   0.660 -21.893     nan     nan     nan     nan     nan     nan     nan 1061900599165671 1
  1180 2091.37   -0.51  -0.13  24.05   0.067 24.130  24.051  24.007   2.926   0.646   8.441   2.374   0.136   7.268   2.306   0.137   7.372   1.000 1061900599165986 1
  3923 1641.23   -0.35  -0.61    nan     nan    nan     nan     nan   0.289   1.000   0.000     nan     nan     nan     nan     nan     nan     nan 0 1
  2736 2609.39   -0.24   0.05  21.88   0.022 22.440  21.876  22.154   5.099   0.696  34.246   6.211   0.586  31.865  14.963   0.529  28.657   1.000 0 1
  4768 3376.39   -0.17  -0.33  21.49   0.021 22.054  21.492  21.756   4.440   0.872   1.055   5.300   0.808   8.512  12.478   0.770  11.691   1.000 0 1
  1661 2289.30   -0.15   0.22    nan     nan    nan     nan     nan   2.676   0.928  65.529     nan     nan     nan     nan     nan     nan     nan 0 1
  3348  160.53   -0.10  -0.17  22.78   0.028 23.099  22.782  22.836   3.414   0.717  46.209   3.368   0.539  49.939   5.346   0.529  54.084   1.000 0 1
  1514 1199.63    0.13  -0.04  20.44   0.021 20.857  20.403  20.677   4.185   0.834  14.034   4.925   0.748  12.814  10.002   0.711   9.880   0.924 1061900599165499 1
  1133 3797.75   -0.05  -0.03  23.41   0.041 23.477  23.315  23.352   3.286   0.753   9.663   2.958   0.534   8.867   3.596   0.491   5.771   0.410 0 1
  4378  736.64   -0.12  -0.10  21.41   0.021 21.682  21.397  21.517   3.397   0.807  41.692   3.338   0.673  39.467   5.124   0.627  37.006   0.951 0 1
  1186 1797.25    0.39   0.90  24.34   0.080 24.332  24.304     nan   4.300   0.471 -13.767   4.266   0.137 -15.040   4.392   0.137 -15.093   0.000 0 1
  2702  786.05   -0.06  -0.31  22.76   0.027 23.041  22.682  22.952   3.906   0.858  12.035   3.887   0.791   7.449   6.679   0.788   0.868   0.788 0 1
  2765 2063.05    0.23   0.09  21.26   0.021 21.932  21.260  21.175   6.221   0.860 -37.294   7.830   0.839 -39.235  21.464   0.781 -40.298   1.000 1061900599166029 1
  3815 3145.06   -1.89   0.49  21.71   0.022 21.935  21.378  21.767   4.583   0.830  23.054   5.247   0.775  19.036  12.654   0.726  16.103   0.461 0 1
  1547 2974.07    0.11  -0.08  23.39   0.038 23.639  23.290  25.444   4.703   0.679  20.073   4.617   0.541  19.795   8.427   0.447  20.469   0.744 0 1
  4495 3634.98   -0.01   0.02  21.38   0.021 21.628  21.377  21.404   3.047   0.855  50.142   2.819   0.720  48.856   3.994   0.682  50.490   1.000 0 1
  1095 3231.22   -0.03  -0.12  20.11   0.021 20.646  20.107  20.374   4.632   0.817   9.257   6.041   0.723  10.582  13.848   0.678  10.529   1.000 0 1
   805 1265.50   -0.04  -0.09  20.14   0.021 20.599  20.137  20.366   4.079   0.875   1.977   4.995   0.799  -0.506  10.069   0.771  -2.873   1.000 1061900599165551 1
  4055  234.66   -0.07  -0.11  21.44   0.021 21.871  21.439  21.587   3.631   0.845  40.974   4.019   0.772  38.586   7.612   0.768  30.758   1.000 0 1
  3989  262.61    0.38  -0.18  23.08   0.030 23.186  22.724  23.220   4.307   0.768  34.783   4.697   0.639  27.119  10.343   0.533  22.986   0.267 0 1
  3824  771.87   -0.60  -1.14  24.13   0.062 24.133  23.705     nan   4.476   0.744 -51.754   4.318   0.689 -48.821   8.178   0.758 -36.861   0.000 0 1
  2182   53.95    0.02  -0.08  20.29   0.020 20.693  20.288  20.473   3.703   0.891  28.922   4.091   0.837  24.580   7.480   0.827  20.259   1.000 0 1
  2917 1662.10   -0.04  -0.12  20.85   0.021 21.148  20.831  20.969   3.498   0.837  42.397   3.543   0.734  41.852   5.696   0.704  43.802   0.935 0 1
   764 2443.81   -0.04   0.02  20.56   0.021 20.810  20.563  20.622   3.300   0.758  45.757   3.319   0.554  44.555   4.746   0.500  43.292   1.000 0 1
  3091 3706.76   -0.09  -0.08  21.23   0.021 21.380  21.217  21.256   2.968   0.809   9.750   2.642   0.573   4.300   3.200   0.505   3.694   0.907 0 1
  3904 3825.32   -0.03  -0.09  20.12   0.021 20.358  20.123  20.192   3.117   0.824  47.463   2.886   0.684  44.082   3.940   0.650  41.174   1.000 0 1
  3500 1034.59    0.00  -0.04  20.93   0.021 21.102  20.913  20.968   2.764   0.968  13.351   2.247   0.894  -5.002   2.802   0.851  -8.933   0.883 0 1
  2331 2597.03   -0.09  -0.08  20.25   0.021 20.685  20.254  20.451   4.347   0.716   6.358   5.308   0.566   5.001  10.535   0.509   3.168   1.000 0 1
